Frame_Width,Clapping_Force,Int_Force,Frame_Widths,Temple_Comfort_S,Temple_Fit_S,OverallFrame_Comfort_S,Temple_Comfort_D,Temple_Fit_D,OverallFrame_Comfort_D,Temple_Length,"Expension
Distance"
124,0.39,0.4,134,2,1,2,2,1,2,100,15.075
122,0.483,0.48,138,0,1,0,0,1,0,102,17.995
126,0.436,0.44,138,3,0,2,3,1,0,102,15.63
130,0.303,0.3,138,1,0,1,0,-1,0,102,12.495
134,0.388,0.38,138,3,0,3,1,-1,-1,102,13.2
138,0.306,0.3,138,-1,-1,-1,-1,-1,-1,102,10.61
142,0.25,0.26,138,0,-1,-1,-1,-1,-1,102,9.02
134,0.38,0.38,138,3,0,3,3,0,3,102,13.2
130,0.41,0.42,142,1,2,1,1,2,0,106,18.6
134,0.44,0.44,142,0,0,-2,-1,2,-2,106,20.21
138,0.352,0.36,142,2,1,1,-1,1,-1,106,15.945
142,0.272,0.28,142,2,0,3,2,1,3,106,12.2345
146,0.272,0.28,142,3,0,3,3,0,3,106,12.345
150,0.21,0.22,142,3,0,3,3,0,3,106,9.55
142,0.272,0.28,142,3,0,3,3,1,3,106,12.345
122,0.4273,0.42,142,-2,2,-2,-2,2,-2,110,21.75
126,0.3815,0.38,142,1,1,1,2,1,1,110,19.42
130,0.3104,0.32,142,1,1,1,2,1,2,110,15.8
134,0.3792,0.38,142,2,1,2,2,1,2,110,19.3
146,0.2027,0.2,142,3,0,3,3,0,3,110,10.315
150,0.1356,0.14,142,2,-2,2,-1,-2,-1,110,6.9
146,0.2027,0.2,142,3,0,3,3,-1,3,110,10.315
122,0.496,0.5,142,-1,2,-1,-1,2,-1,104,21.155
126,0.438,0.44,142,-1,1,-1,-1,1,-1,104,18.7
130,0.355,0.36,142,1,0,1,1,0,1,104,15.15
138,0.276,0.28,142,0,-1,0,-1,1,0,104,11.765
142,0.214,0.22,142,-1,-1,-1,-1,-2,-1,104,9.15
146,0.197,0.2,142,-2,-2,-2,-2,-3,-2,104,8.385
130,0.355,0.36,142,0,0,0,0,0,0,104,15.15
126,0.533,0.54,142,1,2,1,3,1,2,100,20.1
130,0.44,0.44,142,2,1,2,2,0,2,100,17
138,0.36,0.36,142,3,0,3,2,0,2,100,13.6
142,0.284,0.28,142,1,0,2,2,-1,1,100,10.71
146,0.264,0.26,142,1,-1,1,0,-2,-1,100,9.99
150,0.188,0.18,142,1,-3,-1,-1,-3,-1,100,7.1
130,0.44,0.44,142,2,0,2,2,0,2,100,17
126,0.502,0.5,146,0,2,0,-1,2,0,106,22.735
130,0.397,0.4,146,2,0,2,2,0,2,106,18
138,0.342,0.34,146,2,0,2,2,0,2,106,15.5
142,0.265,0.26,146,1,0,1,2,1,0,106,12
146,0.273,0.28,146,1,0,1,2,-1,1,106,12.4
152,0.155,0.16,146,1,-1,1,1,-2,2,106,7
152,0.155,0.16,146,1,0,1,1,0,2,106,7
122,0.51,0.52,134,1,1,0,0,2,1,100,19.22
126,0.499,0.5,134,1,1,1,2,1,2,100,18.79
130,0.369,0.36,134,2,1,2,3,0,3,100,13.89
134,0.388,0.38,134,1,-2,2,1,2,2,100,14.65
138,0.323,0.32,134,1,-1,1,1,-1,1,100,12.15
142,0.22,0.22,134,1,-1,1,1,0,1,100,8.235
134,0.388,0.38,134,1,-1,1,1,-1,1,100,14.65
116,0.577,0.58,128,-3,1,-3,-3,1,-3,94,17.875
120,0.44,0.44,128,3,0,3,3,0,3,94,13.7
128,0.313,0.32,128,2,0,2,1,0,1,94,9.7
132,0.216,0.22,128,1,-1,1,0,-1,0,94,6.7
136,0.168,0.16,128,1,-1,1,1,-1,0,94,5.2
140,0.136,0.14,128,1,-2,1,1,-2,1,94,4.2
136,0.168,0.16,128,1,-1,1,1,-1,1,94,4.3
120,0.48,0.48,124,-1,2,-1,0,2,1,90,13.02
124,0.49,0.5,124,-1,2,-1,-1,0,1,90,10.535
128,0.305,0.3,124,1,1,2,2,0,2,90,8.25
132,0.246,0.24,124,1,0,1,1,0,1,90,6.64
136,0.185,0.18,124,-1,-2,0,-1,-1,0,90,4.99
138,0.161,0.16,124,0,-1,1,1,-2,1,90,4.35
132,0.246,0.24,124,2,0,2,1,0,2,90,6.64
